index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
160,Cube Zero,15-10-2004,2004,5.7,97,"Drama, Mystery, Sci-Fi, Thriller",Ernie Barbarash
161,Damien: Omen II,05-06-1978,1978,6.3,107,Horror,"Don Taylor, Mike Hodges"
162,Daredevil,09-02-2003,2003,5.3,103,"Action, Crime",Mark Steven Johnson
163,Darkman,24-08-1990,1990,6.4,96,"Action, Sci-Fi, Thriller",Sam Raimi
164,Dawn of the Planet of the Apes,26-06-2014,2014,7.6,130,"Action, Adventure, Drama, Sci-Fi",Matt Reeves
165,Deadpool,21-01-2016,2016,8,108,"Action, Adventure, Comedy, Sci-Fi",Tim Miller
166,Deadpool 2,01-05-2018,2018,7.7,119,"Action, Adventure, Comedy, Sci-Fi",David Leitch
167,Death Race,21-08-2008,2008,6.4,105,"Action, Sci-Fi, Thriller",Paul W.S. Anderson
168,Despicable Me,20-06-2010,2010,7.6,95,"Animation, Comedy, Family, Fantasy","Chris Renaud, Pierre Coffin"
169,Despicable Me 2,16-06-2013,2013,7.3,98,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Chris Renaud, Pierre Coffin"
170,Despicable Me 3,14-06-2017,2017,6.3,89,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Eric Guillon, Kyle Balda, Pierre Coffin"
171,Deuce Bigalow: Male Gigolo,02-12-1999,1999,5.7,88,"Comedy, Romance",Mike Mitchell
172,Deuce Bigalow: European Gigolo,06-08-2005,2005,4.7,83,Comedy,Mike Bigelow
173,Die Hard,12-07-1988,1988,8.2,132,"Action, Thriller",John McTiernan
174,Die Hard 2,02-07-1990,1990,7.2,124,"Action, Thriller",Renny Harlin
175,Die Hard: With a Vengeance,15-05-1995,1995,7.6,128,"Action, Adventure, Thriller",John McTiernan
176,Dirty Dancing,12-05-1987,1987,7,100,"Drama, Music, Romance",Emile Ardolino
177,Dirty Dancing: Havana Nights,27-02-2004,2004,6,86,"Drama, Music, Romance",Guy Ferland
178,Dirty Harry,21-12-1971,1971,7.7,102,"Action, Crime, Thriller",Don Siegel
179,Divergent,18-03-2014,2014,6.7,139,"Action, Adventure, Mystery, Sci-Fi",Neil Burger
180,Insurgent,11-03-2015,2015,6.2,119,"Action, Adventure, Sci-Fi, Thriller",Robert Schwentke
181,Allegiant,08-03-2016,2016,5.7,120,"Action, Adventure, Mystery, Sci-Fi, Thriller",Robert Schwentke
182,Doctor Dolittle,13-06-1998,1998,5.4,85,"Comedy, Family, Fantasy",Betty Thomas
183,Dr. Dolittle 2,19-06-2001,2001,4.7,87,"Comedy, Family, Fantasy",Steve Carr
184,Dolphin Tale,21-09-2011,2011,6.9,113,"Drama, Family",Charles Martin Smith
185,Dolphin Tale 2,11-09-2014,2014,6.4,107,"Drama, Family",Charles Martin Smith
186,Dominion: Prequel to the Exorcist,18-03-2005,2005,5.2,117,"Drama, Horror, Thriller",Paul Schrader
187,Dumb and Dumber,06-12-1994,1994,7.3,107,Comedy,"Bobby Farrelly, Peter Farrelly"
188,When Harry Met Lloyd,13-06-2003,2003,3.4,85,Comedy,Troy Miller
189,Dumb and Dumber To,03-11-2014,2014,5.6,109,Comedy,"Bobby Farrelly, Peter Farrelly"
190,Elektra,08-01-2005,2005,4.7,97,"Action, Adventure, Crime, Fantasy",Rob Bowman
191,Elizabeth,08-09-1998,1998,7.4,124,"Biography, Drama, History",Shekhar Kapur
192,Elizabeth: The Golden Age,09-09-2007,2007,6.8,114,"Biography, Drama, History, War",Shekhar Kapur
193,Escape from the Planet of the Apes,26-05-1971,1971,6.3,98,"Action, Sci-Fi",Don Taylor
